"postCode","actUseTypTxt","count"
"792416","4-room","61"
"792416","5-room","79"
"792415","4-room","62"
"792415","5-room","80"
"792414","3-room","84"
"792414","4-room","63"
"792413","4-room","39"
"792413","5-room","83"
"792412","4-room","39"
"792412","5-room","83"
"792411","4-room","136"
"792410","4-room","146"
"792409","4-room","91"
"792409","5-room","39"
"792408","4-room","96"
"792408","5-room","44"
"792407","4-room","100"
"792407","5-room","73"
"792406","4-room","42"
"792406","5-room","80"
"792405","4-room","42"
"792405","5-room","42"
"792404","4-room","76"
"792404","5-room","72"
"792403","4-room","43"
"792403","5-room","42"
"791473","Studio Apartment","84"
"791473","2-room","16"
"791473","3-room","120"
"791472","4-room","90"
"791472","5-room","67"
"791471","4-room","124"
"791471","5-room","48"
"791470","3-room","50"
"791470","4-room","122"
"791469","4-room","50"
"791469","5-room","50"
"791468","4-room","50"
"791468","5-room","50"
"791467","2-room","50"
"791467","3-room","50"
"791467","4-room","100"
"791453","2-room","93"
"791453","3-room","44"
"791452","4-room","88"
"791452","5-room","44"
"791451","4-room","80"
"791451","5-room","40"
"791450","3-room","49"
"791450","4-room","94"
"791448","3-room","49"
"791448","4-room","94"
"791447","2-room","50"
"791447","3-room","46"
"791447","4-room","17"
"791446","1-room","189"
"791446","2-room","105"
"791445","2-room","42"
"791445","3-room","68"
"791445","4-room","52"
"791443","4-room","80"
"791441","3-room","22"
"791441","4-room","98"
"791440","4-room","81"
"791440","5-room","43"
"791439","3-room","20"
"791439","4-room","88"
"791438","3-room","20"
"791438","4-room","60"
"791436","3-room","48"
"791436","4-room","86"
"791435","4-room","79"
"791435","5-room","38"
"791434","3-room","32"
"791434","4-room","73"
"791433","3-room","50"
"791433","4-room","73"
"791432","3-room","23"
"791432","4-room","96"
"791430","4-room","72"
"791430","5-room","63"
"791418","2-room","83"
"791418","3-room","125"
"791417","3-room","42"
"791417","4-room","167"
"791416","4-room","84"
"791416","5-room","63"
"791415","4-room","84"
"791415","5-room","63"
"791414","3-room","84"
"791414","4-room","63"
"791413","4-room","39"
"791413","5-room","83"
"791412","4-room","39"
"791412","5-room","83"
"791411","4-room","136"
"791410","4-room","144"
"791409","4-room","92"
"791409","5-room","39"
"791408","4-room","92"
"791408","5-room","39"
"791407","4-room","100"
"791407","5-room","73"
"791406","4-room","60"
"791406","5-room","31"
"791405","4-room","42"
"791405","5-room","42"
"791404","4-room","43"
"791404","5-room","42"
"791403","4-room","43"
"791403","5-room","42"
"764675","2-room","48"
"764675","3-room","72"
"764675","4-room","24"
"764513","4-room","60"
"764513","5-room","72"
"764505","4-room","71"
"764505","5-room","48"
"764504","4-room","59"
"764504","5-room","48"
"764502","4-room","47"
"764502","5-room","34"
"764432","4-room","24"
"764432","5-room","48"
"764431","4-room","84"
"764426","Studio Apartment","24"
"764426","4-room","24"
"764426","5-room","72"
"764424","3-room","24"
"764424","4-room","84"
"764348","3-room","28"
"764348","4-room","98"
"764348","5-room","28"
"764334","3-room","28"
"764334","4-room","70"
"764333","Studio Apartment","76"
"764333","2-room","8"
"764333","3-room","28"
"764333","4-room","28"
"763677","4-room","36"
"763677","5-room","72"
"763676","4-room","24"
"763676","5-room","72"
"763675","2-room","48"
"763675","3-room","24"
"763675","4-room","59"
"763673","3-room","48"
"763673","4-room","48"
"763673","5-room","48"
"763672","3-room","24"
"763672","4-room","120"
