year,level_1,level_2,level_3,value
2002,70-74 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,12552
2002,75-79 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4491
2002,75-79 Years,Total HDB Dwellings,HDB 3-Room Flats,11125
2002,75-79 Years,Total HDB Dwellings,HDB 4-Room Flats,13135
2002,75-79 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,8300
2002,80-84 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,2383
2002,80-84 Years,Total HDB Dwellings,HDB 3-Room Flats,5872
2002,80-84 Years,Total HDB Dwellings,HDB 4-Room Flats,7154
2002,80-84 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,4784
2002,85 Years & Over,Total HDB Dwellings,HDB 1- And 2-Room Flats,1941
2002,85 Years & Over,Total HDB Dwellings,HDB 3-Room Flats,4529
2002,85 Years & Over,Total HDB Dwellings,HDB 4-Room Flats,5241
2002,85 Years & Over,Total HDB Dwellings,HDB 5-Room And Executive Flats,3577
2003,Residents,Total HDB Dwellings,HDB 1- And 2-Room Flats,89022
2003,Residents,Total HDB Dwellings,HDB 3-Room Flats,633407
2003,Residents,Total HDB Dwellings,HDB 4-Room Flats,1172937
2003,Residents,Total HDB Dwellings,HDB 5-Room And Executive Flats,927187
2003,0-4 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3280
2003,0-4 Years,Total HDB Dwellings,HDB 3-Room Flats,32526
2003,0-4 Years,Total HDB Dwellings,HDB 4-Room Flats,75227
2003,0-4 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,70884
2003,5-9 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3013
2003,5-9 Years,Total HDB Dwellings,HDB 3-Room Flats,30783
2003,5-9 Years,Total HDB Dwellings,HDB 4-Room Flats,88473
2003,5-9 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,83101
2003,10-14 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3442
2003,10-14 Years,Total HDB Dwellings,HDB 3-Room Flats,33729
2003,10-14 Years,Total HDB Dwellings,HDB 4-Room Flats,93409
2003,10-14 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,81418
2003,15-19 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,3969
2003,15-19 Years,Total HDB Dwellings,HDB 3-Room Flats,33568
2003,15-19 Years,Total HDB Dwellings,HDB 4-Room Flats,79980
2003,15-19 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,60764
2003,20-24 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5014
2003,20-24 Years,Total HDB Dwellings,HDB 3-Room Flats,42597
2003,20-24 Years,Total HDB Dwellings,HDB 4-Room Flats,81341
2003,20-24 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,54511
2003,25-29 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4429
2003,25-29 Years,Total HDB Dwellings,HDB 3-Room Flats,53493
2003,25-29 Years,Total HDB Dwellings,HDB 4-Room Flats,94517
2003,25-29 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,64168
2003,30-34 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,4410
2003,30-34 Years,Total HDB Dwellings,HDB 3-Room Flats,52193
2003,30-34 Years,Total HDB Dwellings,HDB 4-Room Flats,102949
2003,30-34 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,88795
2003,35-39 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,5236
2003,35-39 Years,Total HDB Dwellings,HDB 3-Room Flats,54005
2003,35-39 Years,Total HDB Dwellings,HDB 4-Room Flats,109160
2003,35-39 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,93599
2003,40-44 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,6855
2003,40-44 Years,Total HDB Dwellings,HDB 3-Room Flats,56680
2003,40-44 Years,Total HDB Dwellings,HDB 4-Room Flats,108565
2003,40-44 Years,Total HDB Dwellings,HDB 5-Room And Executive Flats,91240
2003,45-49 Years,Total HDB Dwellings,HDB 1- And 2-Room Flats,8016
2003,45-49 Years,Total HDB Dwellings,HDB 3-Room Flats,55271
